Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Gâteau au chocolat (seulement pour les enfants!),340.0,beurre,6.25,3.4625,193.75,47.0625,0.05625,5.18125,0.043125,0.0039375,0.051875
Gâteau au chocolat (seulement pour les enfants!),340.0,creme dessert au chocolat,22.5,0.585,122.85,29.25,4.477499999999999,0.88425,0.747,0.03375,3.7125
Gâteau au chocolat (seulement pour les enfants!),340.0,farine,25.0,0.0325,377.5,89.0,18.975,0.205,2.485,0.0245,0.1025
Gâteau au chocolat (seulement pour les enfants!),340.0,levure,12.5,0.0875,175.0,41.75,2.725,0.5625,5.05,0.04375,0.3125
Gâteau au chocolat (seulement pour les enfants!),340.0,oeuf,34.375,1.0278125000000002,197.65625,47.4375,0.2440625,3.2553125,4.296875,0.06875,0.1271875
Gâteau au chocolat (seulement pour les enfants!),340.0,sucre,25.0,0.0,,,24.95,0.0,0.0,0.00135,24.95
Gâteau au chocolat (seulement pour les enfants!),340.0,sucre vanille,1.875,0.0009937499999999998,,,1.85625,0.0061875,0.001875,0.00017625000000000003,1.8225
Gâteau au chocolat des écoliers ,1267.0,beurre doux,15.625,0.0,24.6875,5.859375,0.7953125,0.0,0.0,0.0015312499999999998,0.7203125
Gâteau au chocolat des écoliers ,1267.0,chocolat noir,25.0,5.625,,,10.725,8.45,1.6575,0.00575,9.575
Gâteau au chocolat des écoliers ,1267.0,farine,12.5,0.01625,188.75,44.5,9.4875,0.1025,1.2425,0.01225,0.05125
Gâteau au chocolat des écoliers ,1267.0,levure chimique,1.875,0.0,,,0.6225,0.00375,0.03675,,0.001875
Gâteau au chocolat des écoliers ,1267.0,oeuf,27.5,0.82225,158.125,37.95,0.19524999999999998,2.60425,3.4375,0.055,0.10175000000000001
Gâteau au chocolat des écoliers ,1267.0,sucre en poudre,25.0,3.275,605.0,145.5,0.7775,10.5,11.975,0.3125,0.075
Gâteau au chocolat fondant rapide,1620.0,beurre,16.666666666666668,9.233333333333334,516.6666666666667,125.5,0.15000000000000002,13.81666666666667,0.115,0.0105,0.13833333333333334
Gâteau au chocolat fondant rapide,1620.0,chocolat patissier,33.333333333333336,3.01,383.33333333333337,91.0,11.433333333333332,4.066666666666666,1.836666666666667,0.1,6.966666666666666
Gâteau au chocolat fondant rapide,1620.0,farine,8.333333333333334,0.010833333333333335,125.83333333333334,29.66666666666667,6.325000000000001,0.06833333333333333,0.8283333333333333,0.008166666666666668,0.034166666666666665
Gâteau au chocolat fondant rapide,1620.0,oeuf,27.5,0.82225,158.125,37.95,0.19524999999999998,2.60425,3.4375,0.055,0.10175000000000001
Gâteau au chocolat fondant rapide,1620.0,sucre en poudre,16.666666666666668,2.1833333333333336,403.33333333333337,97.0,0.5183333333333333,7.0,7.983333333333333,0.20833333333333337,0.05
Gâteau au chocolat type 'brownie',191.0,beurre,15.0,8.31,465.0,112.95,0.135,12.435,0.1035,0.00945,0.1245
Gâteau au chocolat type 'brownie',191.0,chocolat noir,20.0,4.5,,,8.58,6.76,1.3259999999999998,0.0046,7.66
Gâteau au chocolat type 'brownie',191.0,farine,5.0,0.006500000000000001,75.5,17.8,3.795,0.040999999999999995,0.49699999999999994,0.0049,0.020499999999999997
Gâteau au chocolat type 'brownie',191.0,noix,12.5,0.80625,,,0.86,8.4125,1.9625,0.0,0.375
Gâteau au chocolat type 'brownie',191.0,oeuf,22.0,0.6578,126.5,30.36,0.1562,2.0834,2.75,0.044000000000000004,0.0814
Gâteau au chocolat type 'brownie',191.0,sucre,15.0,0.0,,,14.97,0.0,0.0,0.0008100000000000001,14.97
Petits gâteaux tout chocolat,348.0,beurre,11.11111111111111,6.155555555555555,344.44444444444446,83.66666666666666,0.1,9.21111111111111,0.07666666666666666,0.006999999999999999,0.09222222222222222
Petits gâteaux tout chocolat,348.0,creme dessert au chocolat,22.22222222222222,0.5777777777777778,121.33333333333331,28.888888888888886,4.422222222222222,0.8733333333333333,0.7377777777777778,0.03333333333333333,3.666666666666666
Petits gâteaux tout chocolat,348.0,farine,11.11111111111111,0.014444444444444444,167.77777777777777,39.55555555555555,8.433333333333334,0.0911111111111111,1.1044444444444443,0.010888888888888887,0.04555555555555555
Petits gâteaux tout chocolat,348.0,oeuf,18.333333333333332,0.5481666666666667,105.41666666666666,25.3,0.13016666666666665,1.7361666666666666,2.2916666666666665,0.03666666666666667,0.06783333333333333
Petits gâteaux tout chocolat,348.0,sucre,11.11111111111111,0.0,,,11.088888888888889,0.0,0.0,0.0006,11.088888888888889
